 1.70560000e-10  1.70560000e-10  1.70560000e-10  8.54250867e-01  1.70560000e-10  8.54250867e-01 
 1.72560000e-10  1.72560000e-10  1.72560000e-10  8.54250867e-01  1.72560000e-10  8.54250867e-01 
 1.74560000e-10  1.74560000e-10  1.74560000e-10  8.54250867e-01  1.74560000e-10  8.54250867e-01 
 1.76560000e-10  1.76560000e-10  1.76560000e-10  8.54250867e-01  1.76560000e-10  8.54250867e-01 
 1.78560000e-10  1.78560000e-10  1.78560000e-10  8.54250867e-01  1.78560000e-10  8.54250867e-01 
 1.80560000e-10  1.80560000e-10  1.80560000e-10  8.54250867e-01  1.80560000e-10  8.54250867e-01 
 1.82560000e-10  1.82560000e-10  1.82560000e-10  8.54250867e-01  1.82560000e-10  8.54250867e-01 
 1.84560000e-10  1.84560000e-10  1.84560000e-10  8.54250867e-01  1.84560000e-10  8.54250867e-01 
 1.86560000e-10  1.86560000e-10  1.86560000e-10  8.54250867e-01  1.86560000e-10  8.54250867e-01 
 1.88560000e-10  1.88560000e-10  1.88560000e-10  8.54250867e-01  1.88560000e-10  8.54250867e-01 
 1.90560000e-10  1.90560000e-10  1.90560000e-10  8.54250867e-01  1.90560000e-10  8.54250867e-01 
 1.92560000e-10  1.92560000e-10  1.92560000e-10  8.54250867e-01  1.92560000e-10  8.54250867e-01 
 1.94560000e-10  1.94560000e-10  1.94560000e-10  8.54250867e-01  1.94560000e-10  8.54250867e-01 
 1.96560000e-10  1.96560000e-10  1.96560000e-10  8.54250867e-01  1.96560000e-10  8.54250867e-01 
 1.98560000e-10  1.98560000e-10  1.98560000e-10  8.54250867e-01  1.98560000e-10  8.54250867e-01 
 2.00560000e-10  2.00560000e-10  2.00560000e-10  8.54250867e-01  2.00560000e-10  8.54250867e-01 
 2.02560000e-10  2.02560000e-10  2.02560000e-10  8.54250867e-01  2.02560000e-10  8.54250867e-01 
 2.04560000e-10  2.04560000e-10  2.04560000e-10  8.54250867e-01  2.04560000e-10  8.54250867e-01 
 2.06560000e-10  2.06560000e-10  2.06560000e-10  8.54250867e-01  2.06560000e-10  8.54250867e-01 
 2.08560000e-10  2.08560000e-10  2.08560000e-10  8.54250867e-01  2.08560000e-10  8.54250867e-01 
 2.10560000e-10  2.10560000e-10  2.10560000e-10  8.54250867e-01  2.10560000e-10  8.54250867e-01 
 2.12560000e-10  2.12560000e-10  2.12560000e-10  8.54250867e-01  2.12560000e-10  8.54250867e-01 
 2.14560000e-10  2.14560000e-10  2.14560000e-10  8.54250867e-01  2.14560000e-10  8.54250867e-01 
 2.16560000e-10  2.16560000e-10  2.16560000e-10  8.54250867e-01  2.16560000e-10  8.54250867e-01 
 2.18560000e-10  2.18560000e-10  2.18560000e-10  8.54250867e-01  2.18560000e-10  8.54250867e-01 
 2.20560000e-10  2.20560000e-10  2.20560000e-10  8.54250867e-01  2.20560000e-10  8.54250867e-01 
 2.22560000e-10  2.22560000e-10  2.22560000e-10  8.54250867e-01  2.22560000e-10  8.54250867e-01 
 2.24560000e-10  2.24560000e-10  2.24560000e-10  8.54250867e-01  2.24560000e-10  8.54250867e-01 
 2.26560000e-10  2.26560000e-10  2.26560000e-10  8.54250867e-01  2.26560000e-10  8.54250867e-01 
 2.28560000e-10  2.28560000e-10  2.28560000e-10  8.54250867e-01  2.28560000e-10  8.54250867e-01 
 2.30560000e-10  2.30560000e-10  2.30560000e-10  8.54250867e-01  2.30560000e-10  8.54250867e-01 
 2.32560000e-10  2.32560000e-10  2.32560000e-10  8.54250867e-01  2.32560000e-10  8.54250867e-01 
 2.34560000e-10  2.34560000e-10  2.34560000e-10  8.54250867e-01  2.34560000e-10  8.54250867e-01 
 2.36560000e-10  2.36560000e-10  2.36560000e-10  8.54250867e-01  2.36560000e-10  8.54250867e-01 
 2.38560000e-10  2.38560000e-10  2.38560000e-10  8.54250867e-01  2.38560000e-10  8.54250867e-01 
 2.40560000e-10  2.40560000e-10  2.40560000e-10  8.54250867e-01  2.40560000e-10  8.54250867e-01 
 2.42560000e-10  2.42560000e-10  2.42560000e-10  8.54250867e-01  2.42560000e-10  8.54250867e-01 
 2.44560000e-10  2.44560000e-10  2.44560000e-10  8.54250867e-01  2.44560000e-10  8.54250867e-01 
 2.46560000e-10  2.46560000e-10  2.46560000e-10  8.54250867e-01  2.46560000e-10  8.54250867e-01 
 2.48560000e-10  2.48560000e-10  2.48560000e-10  8.54250867e-01  2.48560000e-10  8.54250867e-01 
 2.50560000e-10  2.50560000e-10  2.50560000e-10  8.54250867e-01  2.50560000e-10  8.54250867e-01 
 2.52560000e-10  2.52560000e-10  2.52560000e-10  8.54250867e-01  2.52560000e-10  8.54250867e-01 
 2.54560000e-10  2.54560000e-10  2.54560000e-10  8.54250867e-01  2.54560000e-10  8.54250867e-01 
 2.56560000e-10  2.56560000e-10  2.56560000e-10  8.54250867e-01  2.56560000e-10  8.54250867e-01 
 2.58560000e-10  2.58560000e-10  2.58560000e-10  8.54250867e-01  2.58560000e-10  8.54250867e-01 
 2.60560000e-10  2.60560000e-10  2.60560000e-10  8.54250867e-01  2.60560000e-10  8.54250867e-01 
 2.62560000e-10  2.62560000e-10  2.62560000e-10  8.54250867e-01  2.62560000e-10  8.54250867e-01 
 2.64560000e-10  2.64560000e-10  2.64560000e-10  8.54250867e-01  2.64560000e-10  8.54250867e-01 
 2.66560000e-10  2.66560000e-10  2.66560000e-10  8.54250867e-01  2.66560000e-10  8.54250867e-01 
 2.68560000e-10  2.68560000e-10  2.68560000e-10  8.54250867e-01  2.68560000e-10  8.54250867e-01 
 2.70560000e-10  2.70560000e-10  2.70560000e-10  8.54250867e-01  2.70560000e-10  8.54250867e-01 
 2.72560000e-10  2.72560000e-10  2.72560000e-10  8.54250867e-01  2.72560000e-10  8.54250867e-01 
 2.74560000e-10  2.74560000e-10  2.74560000e-10  8.54250867e-01  2.74560000e-10  8.54250867e-01 
 2.76560000e-10  2.76560000e-10  2.76560000e-10  8.54250867e-01  2.76560000e-10  8.54250867e-01 
 2.78560000e-10  2.78560000e-10  2.78560000e-10  8.54250867e-01  2.78560000e-10  8.54250867e-01 
 2.80560000e-10  2.80560000e-10  2.80560000e-10  8.54250867e-01  2.80560000e-10  8.54250867e-01 
